Country,Localite,Category,Value,Date,Sources
Guinea,"Guekedou, Macenta, Nzerekore and Kissidougou",Cases,86,03/2014,WHO
Guinea,"Guekedou, Macenta, Nzerekore and Kissidougou",Deaths,59,03/2014,WHO
Guinea,"( Guekedou, Macenta and Kissidougou",Cases,86,03/2014,WHO
Guinea,"( Guekedou, Macenta and Kissidougou",Deaths,60,03/2014,WHO
Guinea,"( Guekedou, Macenta and Kissidougou",Cases,86,03/2014,WHO
Guinea,"( Guekedou, Macenta and Kissidougou)",Deaths,62,03/2014,WHO
Guinea,"( Guekedou, Macenta and Kissidougou)",Cases,103,03/2014,WHO
Guinea,"( Guekedou, Macenta and Kissidougou)",Deaths,66,03/2014,WHO
Guinea,"( Guekedou, Macenta,Kissidougou,Lofa,Kankan and Conakry)",Deaths,70,03/2014,WHO
Guinea,Conakry,Suspected cases,5,03/2014,ECHO
Guinea,Gueckedou,Suspected cases,69,03/2014,ECHO
Guinea,Kankan,Suspected cases,1,03/2014,ECHO
Guinea,Kissidougou,Suspected cases,7,03/2014,ECHO
Guinea,Lofa County,Suspected cases,8,03/2014,ECHO
Guinea,Macenta,Suspected cases,21,03/2014,ECHO
Guinea,National,Cases,122,03/2014,Ministere de la Sante
Guinea,National,Confirmed cases,24,03/2014,Ministere de la Sante
Guinea,National,Deaths,80,03/2014,Ministere de la Sante
Guinea,National,Probable cases,78,03/2014,Ministere de la Sante
Guinea,National,Suspected cases,22,03/2014,Ministere de la Sante
Guinea,National,Cases,127,04/2014,Ministere de la Sante
Guinea,National,Confirmed cases,35,04/2014,Ministere de la Sante
Guinea,National,Deaths,83,04/2014,Ministere de la Sante
Guinea,Conakry,Cases,18,04/2014,Ministere de la Sante
Guinea,Conakry,Deaths,5,04/2014,Ministere de la Sante
Guinea,Dabola and Djingaraye,Cases,4,04/2014,Ministere de la Sante
Guinea,Dabola and Djingaraye,Deaths,3,04/2014,Ministere de la Sante
Guinea,Gueckedou,Cases,85,04/2014,Ministere de la Sante
Guinea,Gueckedou,Deaths,59,04/2014,Ministere de la Sante
Guinea,Kissidougou,Cases,9,04/2014,Ministere de la Sante
Guinea,Kissidougou,Deaths,5,04/2014,Ministere de la Sante
Guinea,Macenta,Cases,27,04/2014,Ministere de la Sante
Guinea,Macenta,Deaths,14,04/2014,Ministere de la Sante
Guinea,National,Cases,143,04/2014,Ministere de la Sante
Guinea,National,Confirmed cases,54,04/2014,Ministere de la Sante
